Player,DK Pos,Team,Opp,DK Salary,DK Proj,DK Value,OWN_FRAC,DK Floor,DK Ceiling,LEVERAGE_SCORE,VALUE_PER_1k,CEILING_PCT_RANK,OWNERSHIP_PCT_RANK,leverage_delta,id
Jordan Addison,WR,MIN,@GB,"$5,400.00",10.0,-3.7,0.01,2.5,19.8,19.6218,$1.85,73.81%,58%,15.8%,40835732
Sam Darnold,QB,SEA,@TEN,"$5,400.00",17.9,1.1,0.04,9.5,28.3,27.2812,$3.31,92.18%,76%,16.2%,40835374
Kenneth Walker III,RB,SEA,@TEN,"$5,400.00",13.3,-0.4,0.09,4.3,25.1,22.7908,$2.46,82.65%,87%,-4.3%,40835478
Jacoby Brissett,QB,ARI,JAX,"$5,300.00",19.0,2.6,0.13,10.0,29.3,25.403100000000002,$3.58,93.88%,95%,-1.1%,40835375
Jake Ferguson,TE,DAL,PHI,"$5,300.00",10.3,-3.2,0.01,3.6,18.1,17.9552,$1.94,70.41%,57%,13.4%,40836108
David Montgomery,RB,DET,NYG,"$5,300.00",14.7,1.2,0.1,4.8,27.1,24.2816,$2.77,88.78%,90%,-1.2%,40835480
Emanuel Wilson,RB,GB,MIN,"$5,300.00",16.4,2.9,0.31,6.7,29.1,20.1954,$3.09,93.20%,100%,-6.8%,40835482
DK Metcalf,WR,PIT,@CHI,"$5,300.00",13.5,0.0,0.08,4.1,25.7,23.6183,$2.55,85.37%,84%,1.4%,40835734
Parker Washington,WR,JAX,@ARI,"$5,200.00",12.1,-1.2,0.08,3.8,23.4,21.410999999999998,$2.33,79.93%,85%,-5.1%,40835736
Jordan Mason,RB,MIN,@GB,"$5,200.00",4.3,-9.0,0.0,0.6,10.0,10.0,$0.83,39.80%,0%,39.8%,40835484
Rhamondre Stevenson,RB,NE,@CIN,"$5,200.00",8.5,-4.8,0.03,2.0,17.5,16.939999999999998,$1.63,69.05%,73%,-4.0%,40835486
Kyle Monangai,RB,CHI,PIT,"$5,100.00",7.7,-5.4,0.0,1.8,16.2,16.119,$1.51,64.29%,51%,13.3%,40835490
Trevor Lawrence,QB,JAX,@ARI,"$5,100.00",18.0,2.2,0.08,9.4,28.2,25.8312,$3.53,91.84%,85%,6.8%,40835377
Kareem Hunt,RB,KC,IND,"$5,100.00",13.6,0.4,0.08,4.7,25.4,23.241,$2.67,84.01%,85%,-1.0%,40835488
Tre Tucker,WR,LV,CLE,"$5,100.00",10.0,-3.1,0.01,2.7,19.8,19.5822,$1.96,73.81%,61%,12.8%,40835738
Alec Pierce,WR,IND,@KC,"$5,000.00",12.2,-0.7,0.08,3.2,24.0,22.104,$2.44,80.27%,84%,-3.7%,40835742
Travis Kelce,TE,KC,IND,"$5,000.00",13.6,0.7,0.11,4.7,24.3,21.6999,$2.72,81.29%,92%,-10.7%,40836110
J.J. McCarthy,QB,MIN,@GB,"$5,000.00",13.9,-1.7,0.0,6.6,22.4,22.288,$2.78,78.57%,51%,27.6%,40835378
Kayshon Boutte,WR,NE,@CIN,"$5,000.00",7.8,-5.1,0.01,1.1,17.4,17.295599999999997,$1.56,68.03%,53%,15.0%,40835740
Tony Pollard,RB,TEN,SEA,"$5,000.00",9.8,-3.1,0.0,3.5,18.4,18.308,$1.96,70.75%,51%,19.8%,40835492
Zonovan Knight,RB,ARI,JAX,"$4,900.00",12.0,-0.7,0.05,4.1,22.3,21.2519,$2.45,78.23%,77%,1.2%,40835496
DJ Moore,WR,CHI,PIT,"$4,900.00",9.3,-3.4,0.01,2.4,18.6,18.395400000000002,$1.90,71.43%,61%,10.4%,40835744
Romeo Doubs,WR,GB,MIN,"$4,900.00",13.3,0.6,0.11,4.2,25.3,22.4917,$2.71,83.33%,93%,-9.7%,40835746
Zach Charbonnet,RB,SEA,@TEN,"$4,900.00",9.8,-2.9,0.01,2.6,19.3,19.1842,$2.00,72.45%,53%,19.5%,40835498
Michael Wilson,WR,ARI,JAX,"$4,800.00",14.3,1.8,0.28,4.8,26.9,19.2873,$2.98,88.44%,99%,-10.6%,40835748
Darnell Mooney,WR,ATL,@NO,"$4,800.00",11.1,-1.4,0.06,3.1,21.7,20.5065,$2.31,77.21%,79%,-1.8%,40835750
Chris Brooks,RB,GB,MIN,"$4,800.00",5.7,-6.9,0.0,1.0,12.5,12.475,$1.19,50.34%,43%,7.3%,40835506
Devin Singletary,RB,NYG,@DET,"$4,800.00",7.7,-4.9,0.0,2.1,15.2,15.123999999999999,$1.60,60.54%,51%,9.5%,40835502
Jakobi Meyers,WR,JAX,@ARI,"$4,700.00",13.0,0.7,0.16,4.1,24.5,20.4575,$2.77,81.63%,98%,-16.4%,40835754
Xavier Worthy,WR,KC,IND,"$4,700.00",10.8,-1.6,0.05,3.0,21.2,20.139999999999997,$2.30,76.53%,79%,-2.5%,40835752
Terrell Jennings,RB,NE,@CIN,"$4,700.00",0.5,-11.8,0.0,0.0,2.1,2.1,$0.11,18.71%,0%,18.7%,40835508
